Store_Name,Store_Type,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,X,Y,ObjectId,unique_ID,current_partner,potential_partner
Casey's General Store 2218,Convenience Store,2114 W Farmington Rd,NA,West Peoria,IL,61604,3912,PEORIA,-89.626656,40.70277,-89.626656,40.70277,149591,211461604,No,Unqualified
Circle K 4700127,Gas Station,2416 N University St,NA,Peoria,IL,61604,3225,PEORIA,-89.612923,40.717567,-89.612923,40.717567,149597,241661604,No,Unqualified
Dollar General 22568,Dollar Store,2018 W Forrest Hill Ave,NA,Peoria,IL,61604,1922,PEORIA,-89.623932,40.725212,-89.623932,40.725212,149605,201861604,No,Unqualified
Fuel Zone,Gas Station,1930 W Forrest Hill Ave,NA,Peoria,IL,61604,1970,PEORIA,-89.623489,40.725254,-89.623489,40.725254,149607,193061604,No,Unqualified
County Market 227,Large Grocery Chain,2777 S 6th St,NA,Springfield,IL,62703,4071,SANGAMON,-89.648499,39.764732,-89.648499,39.764732,149677,277762703,No,Potential Partner
Dollar General 23825,Dollar Store,450 W Cumberland Rd,NA,Brownstown,IL,62418,1102,FAYETTE,-88.961555,38.988773,-88.961555,38.988773,149702,45062418,No,Unqualified
JSM Land,NA,10726 S Harlem Ave,NA,Worth,IL,60482,1124,COOK,-87.797791,41.696117,-87.797791,41.696117,149826,1072660482,No,NA
Casey's General Store 3495,Convenience Store,417 W Walnut St,NA,Watseka,IL,60970,1264,IROQUOIS,-87.740799,40.776962,-87.740799,40.776962,149828,41760970,No,Unqualified
DOLLAR GENERAL  1892,Dollar Store,1037 S Oakwood Ave,NA,Geneseo,IL,61254,1937,HENRY,-90.154259,41.439018,-90.154259,41.439018,149879,103761254,No,Unqualified
KROGER  J-924,Large Grocery Chain,255 W 1st Dr,NA,Decatur,IL,62521,5205,MACON,-88.957001,39.821819,-88.957001,39.821819,149967,25562521,No,Potential Partner
New Shamiana,NA,2233 W Schaumburg Rd,NA,Schaumburg,IL,60194,3891,COOK,-88.135353,42.025097,-88.135353,42.025097,150029,223360194,No,NA
Gageslake Food & Liquor,Liquor Store,18495 W Old Gages Lake Rd,NA,Grayslake,IL,60030,1771,LAKE,-87.992912,42.353184,-87.992912,42.353184,150033,1849560030,No,Unqualified
MKV Two Corporation,NA,5344 S Harlem Ave,NA,Summit Argo,IL,60501,1103,COOK,-87.80188,41.795963,-87.80188,41.795963,150054,534460501,No,NA
Oakton Mart Inc,NA,1605 S River Rd,NA,Des Plaines,IL,60018,2205,COOK,-87.876328,42.024326,-87.876328,42.024326,150059,160560018,No,NA
7-eleven 30101C,Convenience Store,825 W Oakton St,NA,Des Plaines,IL,60018,1842,COOK,-87.939087,42.022675,-87.939087,42.022675,150063,82560018,No,Unqualified
DOLLARTREE 8474,Dollar Store,6226 Roosevelt Rd,NA,Oak Park,IL,60304,2391,COOK,-87.780685,41.865391,-87.780685,41.865391,150075,622660304,No,Unqualified
Shell Carol Stream,Gas Station,106 W North Ave,NA,Carol Stream,IL,60188,2002,DU PAGE,-88.119987,41.903587,-88.119987,41.903587,150102,10660188,No,Unqualified
Fresh Asian Market,NA,3016 N University St,NA,Peoria,IL,61604,2614,PEORIA,-89.612785,40.724255,-89.612785,40.724255,150143,301661604,No,NA
Corner Pantry,NA,4240 Main St,NA,Downers Grove,IL,60515,2138,DU PAGE,-88.011154,41.809681,-88.011154,41.809681,150148,424060515,No,NA
Mariano's 8515,Large Grocery Chain,1800 W Lawrence Ave,NA,Chicago,IL,60640,4002,COOK,-87.675034,41.968845,-87.675034,41.968845,150150,180060640,No,Potential Partner
The Warehouse Corp,NA,538 W 119th St,NA,Chicago,IL,60628,NA,COOK,-87.6362,41.67791,-87.6362,41.67791,150185,53860628,No,NA
